ADM1_ZH,ADM1_EN,province
安徽省,Anhui Province,Anhui
北京市,Beijing Municipality,Beijing
重庆市,Chongqing Municipality,Chongqing
福建省,Fujian Province,Fujian
甘肃省,Gansu Province,Gansu
广东省,Guangdong Province,Guangdong
广西壮族自治区,Guangxi Zhuang Autonomous Region,Guangxi
贵州省,Guizhou Province,Guizhou
海南省,Hainan Province,Hainan
河北省,Hebei Province,Hebei
黑龙江省,Heilongjiang Province,Heilongjiang
河南省,Henan Province,Henan
香港特别行政区,Hong Kong Special Administrative Region,Hong Kong
湖北省,Hubei Province,Hubei
湖南省,Hunan Province,Hunan
内蒙古自治区,Inner Mongolia Autonomous Region,Inner Mongolia
江苏省,Jiangsu Province,Jiangsu
江西省,Jiangxi Province,Jiangxi
吉林省,Jilin Province,Jilin
辽宁省,Liaoning Province,Liaoning
澳门特别行政区,Macao Special Administrative Region,Macao
宁夏回族自治区,Ningxia Hui Autonomous Region,Ningxia
青海省,Qinghai Province,Qinghai
陕西省,Shaanxi Province,Shaanxi
山东省,Shandong Province,Shandong
上海市,Shanghai Municipality,Shanghai
山西省,Shanxi Province,Shanxi
四川省,Sichuan Province,Sichuan
台湾省,Taiwan Province,Taiwan
天津市,Tianjin Municipality,Tianjin
西藏自治区,Tibet Autonomous Region,Tibet
新疆维吾尔自治区,Xinjiang Uygur Autonomous Region,Xinjiang
云南省,Yunnan Province,Yunnan
浙江省,Zhejiang Province,Zhejiang
