"","Hubei","Henan","Guangdong","Zhejiang","Beijing","Guangxi","Anhui","Jiangsu","Jiangxi","Shaanxi","Liaoning","Sichuan","Heilongjiang","Macao","Guizhou","Tianjin","Chongqing","Shanghai","Gansu","Hainan","Hunan","Yunnan","Hong Kong","Hebei","Jilin","Ningxia","Shanxi","Xinjiang","Fujian","Shandong","Inner Mongolia","Qinghai","Tibet","China"
"2020-01-07",19,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-08",20,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-09",22,2,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-10",26,2,6,2,7,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-11",30,3,7,2,8,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-12",32,3,7,2,8,1,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-13",37,4,8,2,8,1,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-14",38,4,8,2,9,2,3,1,2,2,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-15",40,4,9,2,9,3,5,1,2,2,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-16",40,4,9,2,11,4,5,1,2,3,3,1,1,1,2,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-17",40,4,11,2,12,4,10,1,2,3,3,1,1,1,2,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-18",101,5,11,2,13,4,17,1,2,6,3,4,1,1,3,1,1,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-19",178,5,11,2,17,8,24,1,2,8,4,5,1,1,3,2,1,2,2,1,1,2,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"2020-01-20",235,6,11,2,21,10,29,1,2,13,4,7,1,1,3,2,1,6,2,1,1,2,3,1,1,1,1,2,1,1,NA,NA,NA,NA
"2020-01-21",235,8,17,2,25,14,35,1,3,19,4,7,1,1,3,3,5,6,3,1,1,2,5,1,1,2,1,3,3,3,1,NA,NA,NA
"2020-01-22",235,8,17,2,27,17,48,1,5,30,4,7,2,3,3,3,7,6,3,1,4,4,7,1,1,2,1,3,3,3,1,NA,NA,NA
"2020-01-23",235,8,32,18,31,18,56,5,6,35,4,15,2,3,3,3,7,6,7,1,4,9,9,2,3,2,1,3,5,6,1,1,NA,NA
"2020-01-24",235,8,53,18,32,23,69,5,20,39,4,19,4,3,3,6,26,6,9,4,24,11,10,2,3,2,1,3,10,15,1,1,NA,NA
"2020-01-25",235,31,78,37,36,23,77,14,22,53,16,43,9,5,5,11,56,19,11,15,43,11,14,8,4,3,6,3,18,27,2,1,1,NA
"2020-01-26",235,82,146,79,65,36,92,29,50,63,21,64,16,9,5,16,74,26,16,18,69,18,16,13,4,4,14,4,35,46,7,4,1,NA
"2020-01-27",631,167,188,148,80,51,133,66,50,83,27,89,30,10,9,28,131,52,29,36,143,46,16,33,6,7,21,10,73,87,10,6,1,1
"2020-01-28",1922,167,207,148,94,51,136,66,109,90,34,89,31,10,9,29,131,52,37,36,143,46,19,33,8,11,27,10,80,95,16,6,1,1
"2020-01-29",2510,277,272,406,111,58,207,125,240,97,39,107,37,10,9,32,164,82,43,39,274,53,19,65,9,12,27,13,84,130,18,6,1,1
"2020-01-30",3730,351,309,515,118,87,246,130,240,98,41,107,37,10,15,34,205,82,48,42,277,79,19,82,11,16,27,14,103,130,20,10,1,1
"2020-01-31",5077,351,436,515,134,100,297,164,334,139,48,176,59,10,29,41,237,121,51,50,334,88,19,96,14,21,39,17,151,184,22,11,1,1
"2020-02-01",6998,421,535,577,173,100,297,198,334,157,68,200,80,10,29,49,261,155,56,59,463,90,21,104,20,23,47,21,166,206,24,13,2,1
"2020-02-02",6998,494,615,640,173,116,365,233,393,161,68,223,103,10,37,53,299,155,56,66,521,94,21,113,28,25,57,24,186,222,24,13,2,1
"2020-02-03",6998,494,771,640,176,116,365,233,393,167,141,223,103,10,47,53,311,165,56,67,521,100,23,126,28,28,57,29,186,235,59,13,2,1
"2020-02-04",6998,583,844,706,201,127,415,266,465,170,141,242,138,10,53,54,311,176,56,78,589,100,23,135,40,28,57,32,197,296,94,15,2,1
